UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,Temperature difference [K],Mechanical power [kW]
1,M14860,M,298.1,308.6,1551,42.8,0,0,0,0,0,0,0,10.5,6.95159056015735
2,L47181,L,298.2,308.7,1408,46.3,3,0,0,0,0,0,0,10.5,6.826722724152668
3,L47182,L,298.1,308.5,1498,49.4,5,0,0,0,0,0,0,10.399999999999977,7.749387542560966
4,L47183,L,298.2,308.6,1433,39.5,7,0,0,0,0,0,0,10.400000000000034,5.9275046589156615
5,L47184,L,298.2,308.7,1408,40.0,9,0,0,0,0,0,0,10.5,5.897816608339239
6,M14865,M,298.1,308.6,1425,41.9,11,0,0,0,0,0,0,10.5,6.252554778807085
7,L47186,L,298.1,308.6,1558,42.4,14,0,0,0,0,0,0,10.5,6.917703247400628
8,L47187,L,298.1,308.6,1527,40.2,16,0,0,0,0,0,0,10.5,6.428264055922363
9,M14868,M,298.3,308.7,1667,28.6,18,0,0,0,0,0,0,10.399999999999977,4.992639989035924
10,M14869,M,298.5,309.0,1741,28.0,21,0,0,0,0,0,0,10.5,5.104878622573175
11,H29424,H,298.4,308.9,1782,23.9,24,0,0,0,0,0,0,10.5,4.459993426595286
12,H29425,H,298.6,309.1,1423,44.3,29,0,0,0,0,0,0,10.5,6.601418171012718
13,M14872,M,298.6,309.1,1339,51.1,34,0,0,0,0,0,0,10.5,7.165229332576969
14,M14873,M,298.6,309.2,1742,30.0,37,0,0,0,0,0,0,10.599999999999966,5.472654402553419
15,L47194,L,298.6,309.2,2035,19.6,40,0,0,0,0,0,0,10.599999999999966,4.17685215270275
16,L47195,L,298.6,309.2,1542,48.4,42,0,0,0,0,0,0,10.599999999999966,7.815528539894545
17,M14876,M,298.6,309.2,1311,46.6,44,0,0,0,0,0,0,10.599999999999966,6.397602111623327
18,M14877,M,298.7,309.2,1410,45.6,47,0,0,0,0,0,0,10.5,6.733061375173644
19,H29432,H,298.8,309.2,1306,54.5,50,0,0,0,0,0,0,10.399999999999977,7.453638010152023
20,M14879,M,298.9,309.3,1632,32.5,55,0,0,0,0,0,0,10.400000000000034,5.554335811546754
21,H29434,H,298.9,309.3,1375,42.7,58,0,0,0,0,0,0,10.400000000000034,6.148358622463024
22,L47201,L,298.8,309.3,1450,44.8,63,0,0,0,0,0,0,10.5,6.802595292573099
23,M14882,M,298.9,309.3,1581,30.7,65,0,0,0,0,0,0,10.400000000000034,5.08275133831639
24,L47203,L,299.0,309.4,1758,25.7,68,0,0,0,0,0,0,10.399999999999977,4.731301368159301
25,M14884,M,299.0,309.4,1561,37.3,70,0,0,0,0,0,0,10.399999999999977,6.097339157768726
26,L47205,L,299.0,309.5,1861,23.3,73,0,0,0,0,0,0,10.5,4.540784717670103
