UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,Temperature difference [K],Mechanical power [kW],Torque_I_Alarm,Torque_MR,Torque_MR_Alarm,Torque_SPC_Alarm,Power_I_Alarm,Power_MR,Power_MR_Alarm,Power_SPC_Alarm,TempDiff_I_Alarm,TempDiff_MR,TempDiff_MR_Alarm,TempDiff_SPC_Alarm,SPC_Alarm_Count,SPC_Alarm_Count_Primary,RPM_I_Alarm,RPM_MR,RPM_MR_Alarm,RPM_SPC_Alarm,Mechanical_SPC_Alarm_Count,Mechanical_SPC_Any
1,M14860,M,298.1,308.6,1551,42.8,0,0,0,0,0,0,0,10.5,6.95159056015735,0,,0,0,0,,0,0,1,,0,1,1,0,0,,0,0,0,0
2,L47181,L,298.2,308.7,1408,46.3,3,0,0,0,0,0,0,10.5,6.826722724152668,0,3.5,0,0,0,0.12486783600468243,0,0,1,0.0,0,1,1,0,0,143.0,0,0,0,0
3,L47182,L,298.1,308.5,1498,49.4,5,0,0,0,0,0,0,10.399999999999975,7.749387542560966,0,3.1000000000000014,0,0,0,0.9226648184082986,0,0,1,0.10000000000002451,0,1,1,0,0,90.0,0,0,0,0
4,L47183,L,298.2,308.6,1433,39.5,7,0,0,0,0,0,0,10.400000000000034,5.9275046589156615,0,9.899999999999999,0,0,0,1.821882883645305,0,0,1,5.861977570020827e-14,0,1,1,0,0,65.0,0,0,0,0
5,L47184,L,298.2,308.7,1408,40.0,9,0,0,0,0,0,0,10.5,5.897816608339239,0,0.5,0,0,0,0.02968805057642232,0,0,1,0.0999999999999659,0,1,1,0,0,25.0,0,0,0,0
6,M14865,M,298.1,308.6,1425,41.9,11,0,0,0,0,0,0,10.5,6.252554778807085,0,1.8999999999999986,0,0,0,0.3547381704678463,0,0,1,0.0,0,1,1,0,0,17.0,0,0,0,0
7,L47186,L,298.1,308.6,1558,42.4,14,0,0,0,0,0,0,10.5,6.917703247400628,0,0.5,0,0,0,0.6651484685935429,0,0,1,0.0,0,1,1,0,0,133.0,0,0,0,0
8,L47187,L,298.1,308.6,1527,40.2,16,0,0,0,0,0,0,10.5,6.428264055922363,0,2.1999999999999957,0,0,0,0.4894391914782652,0,0,1,0.0,0,1,1,0,0,31.0,0,0,0,0
9,M14868,M,298.3,308.7,1667,28.6,18,0,0,0,0,0,0,10.399999999999975,4.992639989035924,0,11.600000000000001,0,0,0,1.4356240668864393,0,0,1,0.10000000000002451,0,1,1,0,0,140.0,0,0,0,0
10,M14869,M,298.5,309.0,1741,28.0,21,0,0,0,0,0,0,10.5,5.104878622573175,0,0.6000000000000014,0,0,0,0.11223863353725072,0,0,1,0.10000000000002451,0,1,1,0,0,74.0,0,0,0,0
11,H29424,H,298.4,308.9,1782,23.9,24,0,0,0,0,0,0,10.5,4.459993426595286,0,4.100000000000001,0,0,0,0.6448851959778885,0,0,1,0.0,0,1,1,0,0,41.0,0,0,0,0
12,H29425,H,298.6,309.1,1423,44.3,29,0,0,0,0,0,0,10.5,6.601418171012718,0,20.4,0,0,0,2.1414247444174324,0,0,1,0.0,0,1,1,0,0,359.0,0,0,0,0
13,M14872,M,298.6,309.1,1339,51.1,34,0,0,0,0,0,0,10.5,7.165229332576969,0,6.800000000000004,0,0,0,0.5638111615642503,0,0,1,0.0,0,1,1,0,0,84.0,0,0,0,0
14,M14873,M,298.6,309.2,1742,30.0,37,0,0,0,0,0,0,10.599999999999966,5.472654402553419,0,21.1,0,0,0,1.6925749300235493,0,0,1,0.0999999999999659,0,1,1,0,0,403.0,0,0,0,0
15,L47194,L,298.6,309.2,2035,19.6,40,0,0,0,0,0,0,10.599999999999966,4.17685215270275,0,10.399999999999999,0,0,0,1.2958022498506692,0,0,1,0.0,0,1,1,0,1,293.0,0,1,1,1
